tx_hash,from_address,to_address,value,gas,gas_price,timestamp,is_contract
0x0000000000000000000000000000000000000000000000000000000000000000,0x000000000000000000000000000000000001dc66,0x000000000000000000000000000000000003162b,3.571898294768963,82267,39.1147292843563,2020-01-01 00:00:00,0
0x0000000000000000000000000000000000000000000000000000000000000001,0x00000000000000000000000000000000000a3db3,0x00000000000000000000000000000000000300a1,0.4301082344749475,69354,16.881533015726124,2020-01-01 01:00:00,1
0x0000000000000000000000000000000000000000000000000000000000000002,0x000000000000000000000000000000000002035c,0x00000000000000000000000000000000000890c9,0.7924229623240089,23557,44.68162650730876,2020-01-01 02:00:00,1
0x0000000000000000000000000000000000000000000000000000000000000003,0x000000000000000000000000000000000005950e,0x00000000000000000000000000000000000367bd,2.113123721307875,59360,1.5487531050737273,2020-01-01 03:00:00,1
0x0000000000000000000000000000000000000000000000000000000000000004,0x000000000000000000000000000000000003f46a,0x00000000000000000000000000000000000983e3,0.38970773537609105,23200,1.903174964139469,2020-01-01 04:00:00,0
0x0000000000000000000000000000000000000000000000000000000000000005,0x000000000000000000000000000000000009d447,0x00000000000000000000000000000000000e7f5e,0.12015641782526454,89497,86.46756847690679,2020-01-01 05:00:00,0
0x0000000000000000000000000000000000000000000000000000000000000006,0x000000000000000000000000000000000001aebc,0x0000000000000000000000000000000000082d0e,0.5132104558305857,67975,22.329251210387234,2020-01-01 06:00:00,1
0x0000000000000000000000000000000000000000000000000000000000000007,0x00000000000000000000000000000000000b2c14,0x00000000000000000000000000000000000771c7,0.2637125377500943,42357,6.7944520648713995,2020-01-01 07:00:00,0
0x0000000000000000000000000000000000000000000000000000000000000008,0x000000000000000000000000000000000000d666,0x0000000000000000000000000000000000089dcd,3.982425128820937,98505,36.93267941395078,2020-01-01 08:00:00,1
0x0000000000000000000000000000000000000000000000000000000000000009,0x0000000000000000000000000000000000021879,0x00000000000000000000000000000000000beed6,2.4763306207268543,23869,73.48239702228676,2020-01-01 09:00:00,1
