address,in_degree,out_degree,total_eth_received,total_eth_sent,is_contract,first_tx_timestamp
0x00000000000000000000000000000000000d340b,4,2,2.5188235690645375,4.877943123610826,0,2015-01-01
0x00000000000000000000000000000000000d8549,2,3,1.827734166456142,0.5706402421318736,0,2015-01-02
0x00000000000000000000000000000000000e2adf,2,14,3.5066030300614717,1.723756396685161,0,2015-01-03
0x0000000000000000000000000000000000002b0f,5,5,6.392018271842957,0.36187698915831007,0,2015-01-04
0x00000000000000000000000000000000000853c7,1,2,0.8386948173159938,0.06893271936131488,1,2015-01-05
0x000000000000000000000000000000000005ebcb,1,1,0.5158607731738493,0.7464019888903721,0,2015-01-06
0x0000000000000000000000000000000000045d97,10,1,1.1018959429301343,3.0327669821188596,1,2015-01-07
0x000000000000000000000000000000000001029b,16,2,0.6791570383827873,0.650317040866425,1,2015-01-08
0x00000000000000000000000000000000000dd174,1,44,1.9087655328434865,0.4971720010063916,1,2015-01-09
0x0000000000000000000000000000000000027407,1,26,4.857485394295304,0.4782430041088244,0,2015-01-10
0x0000000000000000000000000000000000002479,1,40,0.2995914724168615,1.4479291204718787,1,2015-01-11
0x000000000000000000000000000000000008b55b,16,1,0.21248759575322054,7.4215398786516396,1,2015-01-12
0x000000000000000000000000000000000007daa3,1,1,0.5914702410287008,1.228631290951848,1,2015-01-13
0x000000000000000000000000000000000004f059,3,3,2.5899521754004042,1.629750133842066,0,2015-01-14
0x0000000000000000000000000000000000058e87,35,4,1.7977019116449853,3.941274981229489,0,2015-01-15
0x0000000000000000000000000000000000054ab9,1,38,0.21564411715214862,1.5317356356530978,0,2015-01-16
0x0000000000000000000000000000000000099d3b,5,1,5.020461771235042,0.4078166586956913,0,2015-01-17
0x00000000000000000000000000000000000a7cb1,2,18,3.122101726857784,0.7121956831785976,0,2015-01-18
0x000000000000000000000000000000000004821b,7,2,0.04658352828842065,0.7419445487273397,1,2015-01-19
0x0000000000000000000000000000000000066adb,1,2,2.1074721823845293,1.01273155223384,1,2015-01-20
0x000000000000000000000000000000000001f028,4,4,2.9502220221688367,1.1130024551145807,0,2015-01-21
0x00000000000000000000000000000000000c12e3,124,1,0.9382012572524344,3.216697232607912,1,2015-01-22
0x0000000000000000000000000000000000084ebf,24,1,0.14282345920647416,0.8596805642516815,0,2015-01-23
0x000000000000000000000000000000000007979a,1,1,0.1609479098535746,1.2630953047236062,1,2015-01-24
0x00000000000000000000000000000000000ab9f5,6,3,0.2201810715097437,1.961530441062644,1,2015-01-25
0x000000000000000000000000000000000005dbbe,1,23,3.6706658909649104,0.9487493686147878,0,2015-01-26
0x00000000000000000000000000000000000d9c90,2,12154,4.8311984964696055,3.622677557621138,0,2015-01-27
0x00000000000000000000000000000000000e94c8,3,12,0.26206510743949657,1.770813209896262,1,2015-01-28
0x00000000000000000000000000000000000d33a0,2,32,0.5381290120214799,0.696406657014033,0,2015-01-29
0x000000000000000000000000000000000004d7f4,1,1,0.36189422842759134,2.5039409637205363,0,2015-01-30
0x000000000000000000000000000000000004ded3,6,117,0.41237838309981184,1.5000604746532407,1,2015-01-31
0x00000000000000000000000000000000000a8adb,31,3,3.6340411915143633,1.5290968622610321,0,2015-02-01
0x00000000000000000000000000000000000d7aef,2,4,0.8073726201804803,1.312041735139935,1,2015-02-02
0x000000000000000000000000000000000001439c,4,5,0.7463180227205609,1.374377728552764,0,2015-02-03
0x0000000000000000000000000000000000086b8c,1,2,0.5159763214645073,2.8993740098167455,1,2015-02-04
0x000000000000000000000000000000000002862d,2,1,1.872448143776459,0.21735753958249948,0,2015-02-05
0x000000000000000000000000000000000001de22,3,4,0.9538331723678706,0.8140210372115586,1,2015-02-06
0x000000000000000000000000000000000001ccfc,4,2,2.727107025669528,0.15701173334617,1,2015-02-07
0x000000000000000000000000000000000006b185,2,10,0.4602854982431414,2.7987285693321664,0,2015-02-08
0x0000000000000000000000000000000000061651,57,67,3.100356808294283,0.6357379047507391,0,2015-02-09
0x000000000000000000000000000000000008db72,1,14,1.8512762243143166,4.554427564350358,1,2015-02-10
0x000000000000000000000000000000000008c0ff,1,1,0.24268013392134902,1.4955381927399434,0,2015-02-11
0x00000000000000000000000000000000000712c4,1,12,1.0705938510572148,3.2263876288846247,0,2015-02-12
0x000000000000000000000000000000000008c72e,1,16,3.9831271429046002,7.719946378067403,0,2015-02-13
0x00000000000000000000000000000000000f2798,2,4,5.12686704060742,3.6625254105923544,0,2015-02-14
0x000000000000000000000000000000000001f9c1,1,3,1.2535960579025431,4.034718469308742,1,2015-02-15
0x00000000000000000000000000000000000f0009,1,4,1.311074674819142,1.0484449083580074,0,2015-02-16
0x0000000000000000000000000000000000074b37,39,3,5.0131937815270025,1.6046860623726178,0,2015-02-17
0x00000000000000000000000000000000000ce31d,4,19,1.7689457825614119,0.5857606239522306,0,2015-02-18
0x0000000000000000000000000000000000065cf1,2,6,0.06679646757126127,0.43659338191762775,0,2015-02-19
